     113
     103
   12224  Delta1700(++)         1.70000   0.30000  4  1  0  0  0  4  2  4
   12214  Delta1700(+)          1.70000   0.30000  4  1  0  0  0  4  1  7
   12114  Delta1700(0)          1.70000   0.30000  4  1  0  0  0  4  0  7
   11114  Delta1700(-)          1.70000   0.30000  4  1  0  0  0  4 -1  4
   42212  p-1710                  1.71000   0.10000  2  1  0  0  0  2  1 12
   42112  n-1710                  1.71000   0.10000  2  1  0  0  0  2  0 12
   10331  f0-1710                 1.71500   0.13800  1  0  0  0  0  1  0  5
   30323  K*1680(+)             1.71700   0.32200  3  0  1  0  0  2  1  6
  -30323  K*1680(-)             1.71700   0.32200  3  0 -1  0  0  2 -1  6
   30313  K*1680(0)             1.71700   0.32200  3  0  1  0  0  2  0  6
  -30313  Anti-K*1680(0)        1.71700   0.32200  3  0 -1  0  0  2  0  6
   30213  rho1700(+)           1.72000   0.25000  3  0  0  0  0  3  1  4
   30113  rho1700(0)           1.72000   0.25000  3  0  0  0  0  3  0  4
  -30213  rho1700(-)           1.72000   0.25000  3  0  0  0  0  3 -1  4
   32124  p-1720                  1.72000   0.20000  4  1  0  0  0  2  1 11
   31214  n-1720                  1.72000   0.20000  4  1  0  0  0  2  0 11
   23222  Sigma(+)1750          1.75000   0.09000  2  1 -1  0  0  3  1  4
   23212  Sigma(0)1750          1.75000   0.09000  2  1 -1  0  0  3  0  5
   23112  Sigma(-)1750          1.75000   0.09000  2  1 -1  0  0  3 -1  4
   10325  K2-1770(+)             1.77300   0.18600  5  0  1  0  0  2  1  4
  -10325  K2-1770(-)             1.77300   0.18600  5  0 -1  0  0  2 -1  4
   10315  K2-1770(0)             1.77300   0.18600  5  0  1  0  0  2  0  4
  -10315  Anti-K2-1770(0)        1.77300   0.18600  5  0 -1  0  0  2  0  4
    3226  Sigma(+)1775          1.77500   0.12000  6  1 -1  0  0  3  1  7
    3216  Sigma(0)1775          1.77500   0.12000  6  1 -1  0  0  3  0  8
    3116  Sigma(-)1775          1.77500   0.12000  6  1 -1  0  0  3 -1  7
     327  K3*1780(+)            1.77600   0.15900  7  0  1  0  0  2  1  7
    -327  K3*1780(-)            1.77600   0.15900  7  0 -1  0  0  2 -1  7
     317  K3*1780(0)            1.77600   0.15900  7  0  1  0  0  2  0  7
    -317  Anti-K3*1780(0)       1.77600   0.15900  7  0 -1  0  0  2  0  7
   43122  Lambda-1800             1.80000   0.30000  2  1 -1  0  0  1  0 10
   53122  Lambda-1810             1.81000   0.15000  2  1 -1  0  0  1  0  7
 910211  Pion1800(+)           1.81200   0.20700  1  0  0  0  0  3  1  4
 910111  Pion1800(0)           1.81200   0.20700  1  0  0  0  0  3  0  4
-910211  Pion1800(-)           1.81200   0.20700  1  0  0  0  0  3 -1  4
   20325  K2-1820-(+)             1.81600   0.27600  5  0  1  0  0  2  1  8
  -20325  K2-1820(-)             1.81600   0.27600  5  0 -1  0  0  2 -1  8
   20315  K2-1820(0)             1.81600   0.27600  5  0  1  0  0  2  0  8
  -20315  Anti-K2-1820(0)        1.81600   0.27600  5  0 -1  0  0  2  0  8
    3126  Lambda1820             1.82000   0.08000  6  1 -1  0  0  1  0  8
   13324  Xsi(0)1820            1.82300   0.02400  4  1 -2  0  0  2  0  7
   13314  Xsi(-)1820            1.82300   0.02400  4  1 -2  0  0  2 -1  7
   13126  Lambda1830             1.83000   0.09500  6  1 -1  0  0  1  0  8
     337  phi3-1850               1.85400   0.08700  7  0  0  0  0  1  0  6
   23124  Lambda1890             1.89000   0.10000  4  1 -1  0  0  1  0 10
    2226  Delta1905(++)         1.89000   0.33000  6  1  0  0  0  4  2  4
    2126  Delta1905(+)          1.89000   0.33000  6  1  0  0  0  4  1  7
    1216  Delta1905(0)          1.89000   0.33000  6  1  0  0  0  4  0  7
    1116  Delta1905(-)          1.89000   0.33000  6  1  0  0  0  4 -1  4
   22222  Delta1910(++)         1.91000   0.25000  2  1  0  0  0  4  2  5
   22122  Delta1910(+)          1.91000   0.25000  2  1  0  0  0  4  1  9
   21212  Delta1910(0)          1.91000   0.25000  2  1  0  0  0  4  0  9
   21112  Delta1910(-)          1.91000   0.25000  2  1  0  0  0  4 -1  5
   13226  Sigma(+)1915          1.91500   0.12000  6  1 -1  0  0  3  1  6
   13216  Sigma(0)1915          1.91500   0.12000  6  1 -1  0  0  3  0  7
   13116  Sigma(-)1915          1.91500   0.12000  6  1 -1  0  0  3 -1  6
   22224  Delta1920(++)         1.92000   0.20000  4  1  0  0  0  4  2  5
   22214  Delta1920(+)          1.92000   0.20000  4  1  0  0  0  4  1  9
   22114  Delta1920(0)          1.92000   0.20000  4  1  0  0  0  4  0  9
   21114  Delta1920(-)          1.92000   0.20000  4  1  0  0  0  4 -1  5
    2228  Delta1950(++)         1.93000   0.28500  8  1  0  0  0  4  2  5
    2218  Delta1950(+)          1.93000   0.28500  8  1  0  0  0  4  1  9
    2118  Delta1950(0)          1.93000   0.28500  8  1  0  0  0  4  0  9
    1118  Delta1950(-)          1.93000   0.28500  8  1  0  0  0  4 -1  5
   23224  Sigma(+)1940          1.94000   0.22000  4  1 -1  0  0  3  1 10
   23214  Sigma(0)1940          1.94000   0.22000  4  1 -1  0  0  3  0 12
   23114  Sigma(-)1940          1.94000   0.22000  4  1 -1  0  0  3 -1 10
 950225  f2-1950                 1.94500   0.47500  5  0  0  0  0  1  0  9
   23324  Xsi(0)1950            1.95000   0.06000  4  1 -2  0  0  2  0  3
   23314  Xsi(-)1950            1.95000   0.06000  4  1 -2  0  0  2 -1  3
   12226  Delta1930(++)         1.96000   0.36000  6  1  0  0  0  4  2  1
   12126  Delta1930(+)          1.96000   0.36000  6  1  0  0  0  4  1  2
   11216  Delta1930(0)          1.96000   0.36000  6  1  0  0  0  4  0  2
   11116  Delta1930(-)          1.96000   0.36000  6  1  0  0  0  4 -1  1
 960225  f2-2010                 2.01100   0.20200  5  0  0  0  0  1  0  1
   13334  Omega2250              2.25200   0.05500  4  1 -3  0  0  1 -1  2
