101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.159000		0.030000		-0.149277
0.160000		0.030000		-0.148876
0.161000		0.030000		-0.148491
0.162000		0.030000		-0.148121
0.163000		0.030000		-0.147767
0.164000		0.030000		-0.147428
0.165000		0.030000		-0.147104
0.166000		0.030000		-0.146794
0.167000		0.030000		-0.146498
0.168000		0.030000		-0.146216
0.169000		0.030000		-0.145947
0.170000		0.030000		-0.145691
0.171000		0.030000		-0.145448
0.172000		0.030000		-0.145218
0.173000		0.030000		-0.145000
0.174000		0.030000		-0.144794
0.175000		0.030000		-0.144599
0.176000		0.030000		-0.144416
0.177000		0.030000		-0.144244
0.178000		0.030000		-0.144083
0.179000		0.030000		-0.143933
0.180000		0.030000		-0.143793
0.181000		0.030000		-0.143663
0.182000		0.030000		-0.143543
0.183000		0.030000		-0.143432
0.184000		0.030000		-0.143331
0.185000		0.030000		-0.143240
0.186000		0.030000		-0.143157
0.187000		0.030000		-0.143082
0.188000		0.030000		-0.143017
0.189000		0.030000		-0.142959
0.190000		0.030000		-0.142910
0.191000		0.030000		-0.142868
0.192000		0.030000		-0.142835
0.193000		0.030000		-0.142808
0.194000		0.030000		-0.142789
0.195000		0.030000		-0.142777
0.196000		0.030000		-0.142772
0.197000		0.030000		-0.142774
0.198000		0.030000		-0.142783
0.199000		0.030000		-0.142798
0.200000		0.030000		-0.142819
0.100000		0.040000		-0.207827
0.101000		0.040000		-0.206410
0.102000		0.040000		-0.204990
0.103000		0.040000		-0.203569
0.104000		0.040000		-0.202149
0.105000		0.040000		-0.200732
0.106000		0.040000		-0.199318
0.107000		0.040000		-0.197910
0.108000		0.040000		-0.196510
0.109000		0.040000		-0.195117
0.110000		0.040000		-0.193735
0.111000		0.040000		-0.192363
0.112000		0.040000		-0.191003
0.113000		0.040000		-0.189657
0.114000		0.040000		-0.188325
0.115000		0.040000		-0.187008
0.116000		0.040000		-0.185707
0.117000		0.040000		-0.184423
0.118000		0.040000		-0.183157
0.119000		0.040000		-0.181909
0.120000		0.040000		-0.180681
0.121000		0.040000		-0.179472
0.122000		0.040000		-0.178283
0.123000		0.040000		-0.177114
0.124000		0.040000		-0.175967
0.125000		0.040000		-0.174841
0.126000		0.040000		-0.173737
0.127000		0.040000		-0.172655
0.128000		0.040000		-0.171595
0.129000		0.040000		-0.170557
0.130000		0.040000		-0.169542
0.131000		0.040000		-0.168550
0.132000		0.040000		-0.167580
0.133000		0.040000		-0.166634
0.134000		0.040000		-0.165709
0.135000		0.040000		-0.164808
0.136000		0.040000		-0.163929
0.137000		0.040000		-0.163072
0.138000		0.040000		-0.162238
0.139000		0.040000		-0.161426
0.140000		0.040000		-0.160637
0.141000		0.040000		-0.159869
0.142000		0.040000		-0.159123
0.143000		0.040000		-0.158398
0.144000		0.040000		-0.157695
0.145000		0.040000		-0.157012
0.146000		0.040000		-0.156350
0.147000		0.040000		-0.155709
0.148000		0.040000		-0.155088
0.149000		0.040000		-0.154486
0.150000		0.040000		-0.153905
0.151000		0.040000		-0.153342
0.152000		0.040000		-0.152799
0.153000		0.040000		-0.152274
0.154000		0.040000		-0.151767
0.155000		0.040000		-0.151278
0.156000		0.040000		-0.150807
0.157000		0.040000		-0.150354
0.158000		0.040000		-0.149917
0.159000		0.040000		-0.149497
0.160000		0.040000		-0.149093
0.161000		0.040000		-0.148706
0.162000		0.040000		-0.148334
0.163000		0.040000		-0.147977
0.164000		0.040000		-0.147635
0.165000		0.040000		-0.147308
0.166000		0.040000		-0.146996
0.167000		0.040000		-0.146697
0.168000		0.040000		-0.146413
0.169000		0.040000		-0.146142
0.170000		0.040000		-0.145884
0.171000		0.040000		-0.145638
0.172000		0.040000		-0.145406
0.173000		0.040000		-0.145185
0.174000		0.040000		-0.144977
0.175000		0.040000		-0.144781
0.176000		0.040000		-0.144595
0.177000		0.040000		-0.144421
0.178000		0.040000		-0.144258
0.179000		0.040000		-0.144106
0.180000		0.040000		-0.143964
0.181000		0.040000		-0.143832
0.182000		0.040000		-0.143710
0.183000		0.040000		-0.143598
0.184000		0.040000		-0.143495
0.185000		0.040000		-0.143401
0.186000		0.040000		-0.143317
0.187000		0.040000		-0.143241
0.188000		0.040000		-0.143173
0.189000		0.040000		-0.143114
0.190000		0.040000		-0.143063
0.191000		0.040000		-0.143020
0.192000		0.040000		-0.142984
0.193000		0.040000		-0.142957
0.194000		0.040000		-0.142936
0.195000		0.040000		-0.142923
0.196000		0.040000		-0.142916
0.197000		0.040000		-0.142917
0.198000		0.040000		-0.142924
0.199000		0.040000		-0.142937
0.200000		0.040000		-0.142957
0.100000		0.050000		-0.208109
0.101000		0.050000		-0.206700
0.102000		0.050000		-0.205287
0.103000		0.050000		-0.203873
0.104000		0.050000		-0.202460
0.105000		0.050000		-0.201049
0.106000		0.050000		-0.199642
0.107000		0.050000		-0.198239
0.108000		0.050000		-0.196844
0.109000		0.050000		-0.195456
0.110000		0.050000		-0.194078
0.111000		0.050000		-0.192711
0.112000		0.050000		-0.191355
0.113000		0.050000		-0.190012
0.114000		0.050000		-0.188683
0.115000		0.050000		-0.187369
0.116000		0.050000		-0.186070
0.117000		0.050000		-0.184788
0.118000		0.050000		-0.183524
0.119000		0.050000		-0.182277
0.120000		0.050000		-0.181050
0.121000		0.050000		-0.179841
0.122000		0.050000		-0.178653
0.123000		0.050000		-0.177485
0.124000		0.050000		-0.176337
0.125000		0.050000		-0.175211
0.126000		0.050000		-0.174106
0.127000		0.050000		-0.173023
0.128000		0.050000		-0.171962
0.129000		0.050000		-0.170923
0.130000		0.050000		-0.169907
0.131000		0.050000		-0.168913
0.132000		0.050000		-0.167941
0.133000		0.050000		-0.166992
0.134000		0.050000		-0.166065
0.135000		0.050000		-0.165162
0.136000		0.050000		-0.164280
0.137000		0.050000		-0.163421
0.138000		0.050000		-0.162584
0.139000		0.050000		-0.161770
0.140000		0.050000		-0.160977
0.141000		0.050000		-0.160206
0.142000		0.050000		-0.159457
0.143000		0.050000		-0.158729
0.144000		0.050000		-0.158023
0.145000		0.050000		-0.157337
0.146000		0.050000		-0.156672
0.147000		0.050000		-0.156027
0.148000		0.050000		-0.155403
0.149000		0.050000		-0.154798
0.150000		0.050000		-0.154213
0.151000		0.050000		-0.153647
0.152000		0.050000		-0.153100
0.153000		0.050000		-0.152572
0.154000		0.050000		-0.152062
0.155000		0.050000		-0.151570
0.156000		0.050000		-0.151096
0.157000		0.050000		-0.150639
0.158000		0.050000		-0.150199
0.159000		0.050000		-0.149775
0.160000		0.050000		-0.149368
0.161000		0.050000		-0.148977
0.162000		0.050000		-0.148602
0.163000		0.050000		-0.148242
0.164000		0.050000		-0.147898
0.165000		0.050000		-0.147568
0.166000		0.050000		-0.147252
0.167000		0.050000		-0.146951
0.168000		0.050000		-0.146663
0.169000		0.050000		-0.146389
0.170000		0.050000		-0.146128
0.171000		0.050000		-0.145880
0.172000		0.050000		-0.145644
0.173000		0.050000		-0.145421
0.174000		0.050000		-0.145210
0.175000		0.050000		-0.145011
0.176000		0.050000		-0.144823
0.177000		0.050000		-0.144647
0.178000		0.050000		-0.144481
0.179000		0.050000		-0.144326
0.180000		0.050000		-0.144182
0.181000		0.050000		-0.144047
0.182000		0.050000		-0.143923
0.183000		0.050000		-0.143808
0.184000		0.050000		-0.143703
0.185000		0.050000		-0.143607
0.186000		0.050000		-0.143520
0.187000		0.050000		-0.143442
0.188000		0.050000		-0.143372
0.189000		0.050000		-0.143311
0.190000		0.050000		-0.143258
0.191000		0.050000		-0.143213
0.192000		0.050000		-0.143175
0.193000		0.050000		-0.143146
0.194000		0.050000		-0.143123
0.195000		0.050000		-0.143108
0.196000		0.050000		-0.143100
0.197000		0.050000		-0.143098
0.198000		0.050000		-0.143103
0.199000		0.050000		-0.143115
