101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.179000		0.030000		127.308361
0.180000		0.030000		129.919245
0.181000		0.030000		132.579845
0.182000		0.030000		135.290710
0.183000		0.030000		138.052385
0.184000		0.030000		140.865411
0.185000		0.030000		143.730325
0.186000		0.030000		146.647657
0.187000		0.030000		149.617933
0.188000		0.030000		152.641674
0.189000		0.030000		155.719396
0.190000		0.030000		158.851607
0.191000		0.030000		162.038813
0.192000		0.030000		165.281511
0.193000		0.030000		168.580194
0.194000		0.030000		171.935348
0.195000		0.030000		175.347453
0.196000		0.030000		178.816981
0.197000		0.030000		182.344401
0.198000		0.030000		185.930173
0.199000		0.030000		189.574749
0.200000		0.030000		193.278577
0.100000		0.040000		29.395352
0.101000		0.040000		29.845670
0.102000		0.040000		30.304693
0.103000		0.040000		30.772780
0.104000		0.040000		31.250292
0.105000		0.040000		31.737595
0.106000		0.040000		32.235060
0.107000		0.040000		32.743064
0.108000		0.040000		33.261988
0.109000		0.040000		33.792218
0.110000		0.040000		34.334147
0.111000		0.040000		34.888170
0.112000		0.040000		35.454692
0.113000		0.040000		36.034119
0.114000		0.040000		36.626866
0.115000		0.040000		37.233351
0.116000		0.040000		37.853999
0.117000		0.040000		38.489240
0.118000		0.040000		39.139511
0.119000		0.040000		39.805252
0.120000		0.040000		40.486912
0.121000		0.040000		41.184944
0.122000		0.040000		41.899806
0.123000		0.040000		42.631963
0.124000		0.040000		43.381886
0.125000		0.040000		44.150049
0.126000		0.040000		44.936934
0.127000		0.040000		45.743028
0.128000		0.040000		46.568824
0.129000		0.040000		47.414820
0.130000		0.040000		48.281517
0.131000		0.040000		49.169425
0.132000		0.040000		50.079057
0.133000		0.040000		51.010933
0.134000		0.040000		51.965574
0.135000		0.040000		52.943510
0.136000		0.040000		53.945273
0.137000		0.040000		54.971402
0.138000		0.040000		56.022439
0.139000		0.040000		57.098929
0.140000		0.040000		58.201424
0.141000		0.040000		59.330478
0.142000		0.040000		60.486650
0.143000		0.040000		61.670502
0.144000		0.040000		62.882599
0.145000		0.040000		64.123512
0.146000		0.040000		65.393811
0.147000		0.040000		66.694072
0.148000		0.040000		68.024874
0.149000		0.040000		69.386796
0.150000		0.040000		70.780423
0.151000		0.040000		72.206339
0.152000		0.040000		73.665132
0.153000		0.040000		75.157390
0.154000		0.040000		76.683705
0.155000		0.040000		78.244669
0.156000		0.040000		79.840875
0.157000		0.040000		81.472917
0.158000		0.040000		83.141391
0.159000		0.040000		84.846891
0.160000		0.040000		86.590015
0.161000		0.040000		88.371357
0.162000		0.040000		90.191514
0.163000		0.040000		92.051082
0.164000		0.040000		93.950655
0.165000		0.040000		95.890828
0.166000		0.040000		97.872194
0.167000		0.040000		99.895345
0.168000		0.040000		101.960872
0.169000		0.040000		104.069364
0.170000		0.040000		106.221408
0.171000		0.040000		108.417589
0.172000		0.040000		110.658490
0.173000		0.040000		112.944692
0.174000		0.040000		115.276772
0.175000		0.040000		117.655305
0.176000		0.040000		120.080863
0.177000		0.040000		122.554014
0.178000		0.040000		125.075323
0.179000		0.040000		127.645352
0.180000		0.040000		130.264657
0.181000		0.040000		132.933793
0.182000		0.040000		135.653309
0.183000		0.040000		138.423749
0.184000		0.040000		141.245654
0.185000		0.040000		144.119558
0.186000		0.040000		147.045992
0.187000		0.040000		150.025482
0.188000		0.040000		153.058548
0.189000		0.040000		156.145704
0.190000		0.040000		159.287459
0.191000		0.040000		162.484317
0.192000		0.040000		165.736775
0.193000		0.040000		169.045324
0.194000		0.040000		172.410451
0.195000		0.040000		175.832633
0.196000		0.040000		179.312343
0.197000		0.040000		182.850048
0.198000		0.040000		186.446206
0.199000		0.040000		190.101270
0.200000		0.040000		193.815686
0.100000		0.050000		29.410265
0.101000		0.050000		29.861716
0.102000		0.050000		30.321935
0.103000		0.050000		30.791281
0.104000		0.050000		31.270119
0.105000		0.050000		31.758815
0.106000		0.050000		32.257744
0.107000		0.050000		32.767285
0.108000		0.050000		33.287819
0.109000		0.050000		33.819736
0.110000		0.050000		34.363430
0.111000		0.050000		34.919299
0.112000		0.050000		35.487749
0.113000		0.050000		36.069188
0.114000		0.050000		36.664033
0.115000		0.050000		37.272705
0.116000		0.050000		37.895630
0.117000		0.050000		38.533240
0.118000		0.050000		39.185974
0.119000		0.050000		39.854275
