101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.128000		0.040000		19.508933
0.129000		0.040000		19.962431
0.130000		0.040000		20.422755
0.131000		0.040000		20.890021
0.132000		0.040000		21.364346
0.133000		0.040000		21.845851
0.134000		0.040000		22.334662
0.135000		0.040000		22.830907
0.136000		0.040000		23.334716
0.137000		0.040000		23.846223
0.138000		0.040000		24.365565
0.139000		0.040000		24.892880
0.140000		0.040000		25.428309
0.141000		0.040000		25.971996
0.142000		0.040000		26.524085
0.143000		0.040000		27.084723
0.144000		0.040000		27.654058
0.145000		0.040000		28.232240
0.146000		0.040000		28.819420
0.147000		0.040000		29.415749
0.148000		0.040000		30.021381
0.149000		0.040000		30.636468
0.150000		0.040000		31.261165
0.151000		0.040000		31.895625
0.152000		0.040000		32.540004
0.153000		0.040000		33.194455
0.154000		0.040000		33.859132
0.155000		0.040000		34.534191
0.156000		0.040000		35.219784
0.157000		0.040000		35.916063
0.158000		0.040000		36.623182
0.159000		0.040000		37.341292
0.160000		0.040000		38.070542
0.161000		0.040000		38.811082
0.162000		0.040000		39.563059
0.163000		0.040000		40.326621
0.164000		0.040000		41.101910
0.165000		0.040000		41.889071
0.166000		0.040000		42.688245
0.167000		0.040000		43.499571
0.168000		0.040000		44.323186
0.169000		0.040000		45.159227
0.170000		0.040000		46.007824
0.171000		0.040000		46.869111
0.172000		0.040000		47.743214
0.173000		0.040000		48.630259
0.174000		0.040000		49.530370
0.175000		0.040000		50.443668
0.176000		0.040000		51.370269
0.177000		0.040000		52.310290
0.178000		0.040000		53.263841
0.179000		0.040000		54.231033
0.180000		0.040000		55.211971
0.181000		0.040000		56.206758
0.182000		0.040000		57.215494
0.183000		0.040000		58.238276
0.184000		0.040000		59.275198
0.185000		0.040000		60.326348
0.186000		0.040000		61.391815
0.187000		0.040000		62.471682
0.188000		0.040000		63.566028
0.189000		0.040000		64.674931
0.190000		0.040000		65.798463
0.191000		0.040000		66.936694
0.192000		0.040000		68.089689
0.193000		0.040000		69.257513
0.194000		0.040000		70.440222
0.195000		0.040000		71.637874
0.196000		0.040000		72.850519
0.197000		0.040000		74.078205
0.198000		0.040000		75.320977
0.199000		0.040000		76.578876
0.200000		0.040000		77.851939
0.100000		0.050000		9.222926
0.101000		0.050000		9.513570
0.102000		0.050000		9.809639
0.103000		0.050000		10.111131
0.104000		0.050000		10.418044
0.105000		0.050000		10.730383
0.106000		0.050000		11.048156
0.107000		0.050000		11.371373
0.108000		0.050000		11.700049
0.109000		0.050000		12.034204
0.110000		0.050000		12.373860
0.111000		0.050000		12.719045
0.112000		0.050000		13.069791
0.113000		0.050000		13.426134
0.114000		0.050000		13.788115
0.115000		0.050000		14.155779
0.116000		0.050000		14.529176
0.117000		0.050000		14.908361
0.118000		0.050000		15.293392
0.119000		0.050000		15.684333
0.120000		0.050000		16.081252
0.121000		0.050000		16.484222
0.122000		0.050000		16.893321
0.123000		0.050000		17.308630
0.124000		0.050000		17.730235
0.125000		0.050000		18.158227
0.126000		0.050000		18.592700
0.127000		0.050000		19.033753
0.128000		0.050000		19.481490
0.129000		0.050000		19.936015
0.130000		0.050000		20.397441
0.131000		0.050000		20.865882
0.132000		0.050000		21.341454
0.133000		0.050000		21.824279
0.134000		0.050000		22.314481
0.135000		0.050000		22.812187
0.136000		0.050000		23.317529
0.137000		0.050000		23.830637
0.138000		0.050000		24.351650
0.139000		0.050000		24.880703
0.140000		0.050000		25.417937
0.141000		0.050000		25.963496
0.142000		0.050000		26.517522
0.143000		0.050000		27.080162
0.144000		0.050000		27.651562
0.145000		0.050000		28.231873
0.146000		0.050000		28.821244
0.147000		0.050000		29.419825
0.148000		0.050000		30.027770
0.149000		0.050000		30.645229
0.150000		0.050000		31.272358
0.151000		0.050000		31.909307
0.152000		0.050000		32.556233
0.153000		0.050000		33.213287
0.154000		0.050000		33.880624
0.155000		0.050000		34.558396
0.156000		0.050000		35.246757
0.157000		0.050000		35.945857
0.158000		0.050000		36.655850
0.159000		0.050000		37.376885
0.160000		0.050000		38.109112
0.161000		0.050000		38.852678
0.162000		0.050000		39.607731
0.163000		0.050000		40.374417
0.164000		0.050000		41.152879
0.165000		0.050000		41.943259
0.166000		0.050000		42.745699
0.167000		0.050000		43.560336
0.168000		0.050000		44.387308
0.169000		0.050000		45.226749
0.170000		0.050000		46.078791
0.171000		0.050000		46.943564
0.172000		0.050000		47.821196
0.173000		0.050000		48.711811
0.174000		0.050000		49.615532
0.175000		0.050000		50.532479
0.176000		0.050000		51.462770
0.177000		0.050000		52.406517
0.178000		0.050000		53.363833
0.179000		0.050000		54.334825
0.180000		0.050000		55.319600
0.181000		0.050000		56.318260
0.182000		0.050000		57.330902
0.183000		0.050000		58.357625
0.184000		0.050000		59.398519
0.185000		0.050000		60.453675
0.186000		0.050000		61.523179
0.187000		0.050000		62.607113
0.188000		0.050000		63.705556
0.189000		0.050000		64.818585
0.190000		0.050000		65.946271
0.191000		0.050000		67.088684
0.192000		0.050000		68.245888
0.193000		0.050000		69.417946
0.194000		0.050000		70.604915
0.195000		0.050000		71.806851
0.196000		0.050000		73.023803
0.197000		0.050000		74.255820
0.198000		0.050000		75.502944
0.199000		0.050000		76.765217
0.200000		0.050000		78.042674
0.100000		0.060000		9.192321
0.101000		0.060000		9.482044
0.102000		0.060000		9.777234
0.103000		0.060000		10.077893
0.104000		0.060000		10.384026
0.105000		0.060000		10.695639
0.106000		0.060000		11.012744
0.107000		0.060000		11.335355
0.108000		0.060000		11.663490
0.109000		0.060000		11.997171
0.110000		0.060000		12.336425
0.111000		0.060000		12.681282
0.112000		0.060000		13.031775
0.113000		0.060000		13.387944
0.114000		0.060000		13.749831
0.115000		0.060000		14.117482
0.116000		0.060000		14.490951
0.117000		0.060000		14.870291
0.118000		0.060000		15.255565
0.119000		0.060000		15.646835
0.120000		0.060000		16.044173
0.121000		0.060000		16.447650
0.122000		0.060000		16.857345
0.123000		0.060000		17.273340
0.124000		0.060000		17.695722
0.125000		0.060000		18.124581
0.126000		0.060000		18.560011
0.127000		0.060000		19.002111
0.128000		0.060000		19.450985
0.129000		0.060000		19.906738
0.130000		0.060000		20.369480
0.131000		0.060000		20.839325
0.132000		0.060000		21.316391
0.133000		0.060000		21.800797
0.134000		0.060000		22.292667
0.135000		0.060000		22.792128
0.136000		0.060000		23.299309
0.137000		0.060000		23.814343
0.138000		0.060000		24.337363
0.139000		0.060000		24.868508
0.140000		0.060000		25.407917
0.141000		0.060000		25.955730
0.142000		0.060000		26.512091
0.143000		0.060000		27.077145
0.144000		0.060000		27.651039
0.145000		0.060000		28.233919
0.146000		0.060000		28.825936
0.147000		0.060000		29.427240
0.148000		0.060000		30.037980
0.149000		0.060000		30.658310
0.150000		0.060000		31.288380
0.151000		0.060000		31.928343
0.152000		0.060000		32.578353
0.153000		0.060000		33.238560
0.154000		0.060000		33.909119
0.155000		0.060000		34.590180
0.156000		0.060000		35.281897
0.157000		0.060000		35.984419
0.158000		0.060000		36.697898
0.159000		0.060000		37.422483
0.160000		0.060000		38.158322
0.161000		0.060000		38.905562
0.162000		0.060000		39.664351
0.163000		0.060000		40.434831
0.164000		0.060000		41.217147
0.165000		0.060000		42.011439
