T [fm^-1]		muB [fm^-1]		c0_df14 [..]
0.754545		0.109899		31.507994
0.756970		0.109899		31.069217
0.759394		0.109899		30.641396
0.761818		0.109899		30.224252
0.764242		0.109899		29.817520
0.766667		0.109899		29.420943
0.769091		0.109899		29.034271
0.771515		0.109899		28.657267
0.773939		0.109899		28.289699
0.776364		0.109899		27.931346
0.778788		0.109899		27.581992
0.781212		0.109899		27.241432
0.783636		0.109899		26.909466
0.786061		0.109899		26.585903
0.788485		0.109899		26.270559
0.790909		0.109899		25.963255
0.793333		0.109899		25.663820
0.795758		0.109899		25.372091
0.798182		0.109899		25.087909
0.800606		0.109899		24.811122
0.803030		0.109899		24.541585
0.805455		0.109899		24.279157
0.807879		0.109899		24.023705
0.810303		0.109899		23.775100
0.812727		0.109899		23.533218
0.815152		0.109899		23.297944
0.817576		0.109899		23.069163
0.820000		0.109899		22.846771
0.580000		0.137374		135.892614
0.582424		0.137374		132.197431
0.584848		0.137374		128.636733
0.587273		0.137374		125.204535
0.589697		0.137374		121.895167
0.592121		0.137374		118.703259
0.594545		0.137374		115.623719
0.596970		0.137374		112.651717
0.599394		0.137374		109.782671
0.601818		0.137374		107.012231
0.604242		0.137374		104.336265
0.606667		0.137374		101.750848
0.609091		0.137374		99.252247
0.611515		0.137374		96.836914
0.613939		0.137374		94.501472
0.616364		0.137374		92.242709
0.618788		0.137374		90.057563
0.621212		0.137374		87.943121
0.623636		0.137374		85.896606
0.626061		0.137374		83.915370
0.628485		0.137374		81.996889
0.630909		0.137374		80.138754
0.633333		0.137374		78.338667
0.635758		0.137374		76.594434
0.638182		0.137374		74.903960
0.640606		0.137374		73.265243
0.643030		0.137374		71.676371
0.645455		0.137374		70.135516
0.647879		0.137374		68.640929
0.650303		0.137374		67.190938
0.652727		0.137374		65.783942
0.655152		0.137374		64.418412
0.657576		0.137374		63.092880
0.660000		0.137374		61.805942
0.662424		0.137374		60.556253
0.664848		0.137374		59.342524
0.667273		0.137374		58.163521
0.669697		0.137374		57.018058
0.672121		0.137374		55.904999
0.674545		0.137374		54.823255
0.676970		0.137374		53.771782
0.679394		0.137374		52.749574
0.681818		0.137374		51.755669
0.684242		0.137374		50.789142
0.686667		0.137374		49.849104
0.689091		0.137374		48.934703
0.691515		0.137374		48.045118
0.693939		0.137374		47.179561
0.696364		0.137374		46.337275
0.698788		0.137374		45.517530
0.701212		0.137374		44.719626
0.703636		0.137374		43.942890
0.706061		0.137374		43.186673
0.708485		0.137374		42.450351
0.710909		0.137374		41.733323
0.713333		0.137374		41.035012
0.715758		0.137374		40.354860
0.718182		0.137374		39.692332
0.720606		0.137374		39.046912
0.723030		0.137374		38.418102
0.725455		0.137374		37.805423
0.727879		0.137374		37.208414
0.730303		0.137374		36.626629
0.732727		0.137374		36.059641
0.735152		0.137374		35.507036
0.737576		0.137374		34.968414
0.740000		0.137374		34.443394
0.742424		0.137374		33.931603
0.744848		0.137374		33.432684
0.747273		0.137374		32.946295
0.749697		0.137374		32.472101
0.752121		0.137374		32.009783
0.754545		0.137374		31.559033
0.756970		0.137374		31.119551
0.759394		0.137374		30.691051
0.761818		0.137374		30.273255
0.764242		0.137374		29.865896
0.766667		0.137374		29.468717
0.769091		0.137374		29.081468
0.771515		0.137374		28.703909
0.773939		0.137374		28.335811
0.776364		0.137374		27.976948
0.778788		0.137374		27.627108
0.781212		0.137374		27.286083
0.783636		0.137374		26.953674
0.786061		0.137374		26.629687
0.788485		0.137374		26.313939
0.790909		0.137374		26.006252
0.793333		0.137374		25.706453
0.795758		0.137374		25.414379
0.798182		0.137374		25.129871
0.800606		0.137374		24.852777
0.803030		0.137374		24.582950
0.805455		0.137374		24.320251
0.807879		0.137374		24.064545
0.810303		0.137374		23.815703
0.812727		0.137374		23.573603
0.815152		0.137374		23.338127
0.817576		0.137374		23.109162
0.820000		0.137374		22.886602
0.580000		0.164848		136.276895
0.582424		0.164848		132.568194
0.584848		0.164848		128.994564
0.587273		0.164848		125.549989
0.589697		0.164848		122.228775
0.592121		0.164848		119.025524
0.594545		0.164848		115.935119
0.596970		0.164848		112.952709
0.599394		0.164848		110.073689
0.601818		0.164848		107.293688
0.604242		0.164848		104.608555
0.606667		0.164848		102.014346
0.609091		0.164848		99.507312
0.611515		0.164848		97.083887
0.613939		0.164848		94.740679
0.616364		0.164848		92.474461
0.618788		0.164848		90.282158
0.621212		0.164848		88.160842
0.623636		0.164848		86.107724
0.626061		0.164848		84.120144
0.628485		0.164848		82.195566
0.630909		0.164848		80.331571
0.633333		0.164848		78.525851
0.635758		0.164848		76.776202
0.638182		0.164848		75.080519
0.640606		0.164848		73.436792
0.643030		0.164848		71.843100
0.645455		0.164848		70.297606
0.647879		0.164848		68.798555
0.650303		0.164848		67.344268
0.652727		0.164848		65.933137
0.655152		0.164848		64.563624
0.657576		0.164848		63.234256
0.660000		0.164848		61.943625
0.662424		0.164848		60.690378
0.664848		0.164848		59.473222
0.667273		0.164848		58.290916
0.669697		0.164848		57.142270
0.672121		0.164848		56.026144
0.674545		0.164848		54.941444
0.676970		0.164848		53.887121
0.679394		0.164848		52.862165
0.681818		0.164848		51.865611
0.684242		0.164848		50.896530
0.686667		0.164848		49.954029
0.689091		0.164848		49.037252
0.691515		0.164848		48.145376
0.693939		0.164848		47.277609
0.696364		0.164848		46.433190
0.698788		0.164848		45.611389
0.701212		0.164848		44.811501
0.703636		0.164848		44.032851
0.706061		0.164848		43.274787
0.708485		0.164848		42.536683
0.710909		0.164848		41.817936
0.713333		0.164848		41.117966
0.715758		0.164848		40.436214
0.718182		0.164848		39.772142
0.720606		0.164848		39.125232
0.723030		0.164848		38.494985
0.725455		0.164848		37.880921
0.727879		0.164848		37.282575
0.730303		0.164848		36.699501
0.732727		0.164848		36.131269
0.735152		0.164848		35.577465
0.737576		0.164848		35.037688
0.740000		0.164848		34.511553
0.742424		0.164848		33.998688
0.744848		0.164848		33.498735
0.747273		0.164848		33.011349
0.749697		0.164848		32.536195
0.752121		0.164848		32.072954
0.754545		0.164848		31.621314
0.756970		0.164848		31.180976
0.759394		0.164848		30.751653
0.761818		0.164848		30.333067
0.764242		0.164848		29.924948
0.766667		0.164848		29.527039
0.769091		0.164848		29.139089
0.771515		0.164848		28.760860
0.773939		0.164848		28.392117
0.776364		0.164848		28.032639
0.778788		0.164848		27.682210
0.781212		0.164848		27.340621
0.783636		0.164848		27.007674
0.786061		0.164848		26.683175
0.788485		0.164848		26.366939
0.790909		0.164848		26.058787
0.793333		0.164848		25.758548
0.795758		0.164848		25.466057
0.798182		0.164848		25.181154
0.800606		0.164848		24.903688
0.803030		0.164848		24.633512
0.805455		0.164848		24.370485
0.807879		0.164848		24.114473
0.810303		0.164848		23.865347
0.812727		0.164848		23.622984
0.815152		0.164848		23.387266
0.817576		0.164848		23.158080
0.820000		0.164848		22.935320
0.580000		0.192323		136.725984
0.582424		0.192323		133.001558
0.584848		0.192323		129.412882
0.587273		0.192323		125.953906
0.589697		0.192323		122.618905
0.592121		0.192323		119.402450
0.594545		0.192323		116.299397
0.596970		0.192323		113.304866
0.599394		0.192323		110.414230
0.601818		0.192323		107.623092
0.604242		0.192323		104.927280
0.606667		0.192323		102.322828
0.609091		0.192323		99.805966
0.611515		0.192323		97.373109
0.613939		0.192323		95.020849
0.616364		0.192323		92.745939
0.618788		0.192323		90.545290
0.621212		0.192323		88.415957
0.623636		0.192323		86.355138
0.626061		0.192323		84.360157
0.628485		0.192323		82.428467
0.630909		0.192323		80.557635
0.633333		0.192323		78.745341
0.635758		0.192323		76.989370
0.638182		0.192323		75.287606
0.640606		0.192323		73.638030
0.643030		0.192323		72.038710
0.645455		0.192323		70.487800
0.647879		0.192323		68.983536
0.650303		0.192323		67.524230
0.652727		0.192323		66.108267
0.655152		0.192323		64.734102
0.657576		0.192323		63.400253
0.660000		0.192323		62.105306
0.662424		0.192323		60.847901
0.664848		0.192323		59.626738
0.667273		0.192323		58.440572
0.669697		0.192323		57.288206
0.672121		0.192323		56.168494
0.674545		0.192323		55.080337
0.676970		0.192323		54.022681
0.679394		0.192323		52.994512
0.681818		0.192323		51.994860
0.684242		0.192323		51.022791
0.686667		0.192323		50.077408
0.689091		0.192323		49.157852
0.691515		0.192323		48.263295
0.693939		0.192323		47.392942
0.696364		0.192323		46.546028
0.698788		0.192323		45.721820
0.701212		0.192323		44.919611
0.703636		0.192323		44.138720
0.706061		0.192323		43.378494
0.708485		0.192323		42.638305
0.710909		0.192323		41.917545
0.713333		0.192323		41.215634
0.715758		0.192323		40.532009
0.718182		0.192323		39.866129
0.720606		0.192323		39.217476
0.723030		0.192323		38.585547
0.725455		0.192323		37.969859
0.727879		0.192323		37.369948
0.730303		0.192323		36.785365
0.732727		0.192323		36.215677
0.735152		0.192323		35.660469
0.737576		0.192323		35.119338
0.740000		0.192323		34.591899
0.742424		0.192323		34.077777
0.744848		0.192323		33.576612
0.747273		0.192323		33.088059
0.749697		0.192323		32.611782
0.752121		0.192323		32.147458
0.754545		0.192323		31.694777
0.756970		0.192323		31.253438
0.759394		0.192323		30.823152
0.761818		0.192323		30.403639
0.764242		0.192323		29.994631
0.766667		0.192323		29.595868
0.769091		0.192323		29.207100
0.771515		0.192323		28.828084
0.773939		0.192323		28.458589
0.776364		0.192323		28.098390
0.778788		0.192323		27.747271
0.781212		0.192323		27.405024
0.783636		0.192323		27.071448
0.786061		0.192323		26.746350
0.788485		0.192323		26.429544
0.790909		0.192323		26.120851
0.793333		0.192323		25.820098
0.795758		0.192323		25.527120
0.798182		0.192323		25.241758
0.800606		0.192323		24.963858
0.803030		0.192323		24.693275
0.805455		0.192323		24.429867
0.807879		0.192323		24.173499
0.810303		0.192323		23.924043
0.812727		0.192323		23.681374
0.815152		0.192323		23.445376
0.817576		0.192323		23.215934
0.820000		0.192323		22.992943
0.580000		0.219798		137.237455
0.582424		0.219798		133.495216
0.584848		0.219798		129.889492
0.587273		0.219798		126.414198
0.589697		0.219798		123.063569
0.592121		0.219798		119.832145
0.594545		0.219798		116.714750
0.596970		0.219798		113.706475
0.599394		0.219798		110.802662
0.601818		0.219798		107.998890
0.604242		0.219798		105.290959
0.606667		0.219798		102.674881
0.609091		0.219798		100.146863
0.611515		0.219798		97.703299
0.613939		0.219798		95.340759
0.616364		0.219798		93.055979
0.618788		0.219798		90.845848
0.621212		0.219798		88.707408
0.623636		0.219798		86.637837
0.626061		0.219798		84.634446
0.628485		0.219798		82.694671
0.630909		0.219798		80.816066
0.633333		0.219798		78.996297
0.635758		0.219798		77.233137
0.638182		0.219798		75.524458
0.640606		0.219798		73.868227
0.643030		0.219798		72.262504
0.645455		0.219798		70.705432
0.647879		0.219798		69.195235
0.650303		0.219798		67.730218
0.652727		0.219798		66.308755
0.655152		0.219798		64.929292
0.657576		0.219798		63.590342
0.660000		0.219798		62.290479
0.662424		0.219798		61.028339
0.664848		0.219798		59.802613
0.667273		0.219798		58.612049
0.669697		0.219798		57.455444
0.672121		0.219798		56.331646
0.674545		0.219798		55.239550
0.676970		0.219798		54.178096
0.679394		0.219798		53.146265
0.681818		0.219798		52.143081
0.684242		0.219798		51.167605
0.686667		0.219798		50.218938
0.689091		0.219798		49.296212
0.691515		0.219798		48.398598
0.693939		0.219798		47.525296
0.696364		0.219798		46.675537
0.698788		0.219798		45.848584
0.701212		0.219798		45.043725
0.703636		0.219798		44.260279
0.706061		0.219798		43.497587
0.708485		0.219798		42.755018
0.710909		0.219798		42.031963
0.713333		0.219798		41.327836
0.715758		0.219798		40.642073
0.718182		0.219798		39.974131
0.720606		0.219798		39.323487
0.723030		0.219798		38.689638
0.725455		0.219798		38.072099
0.727879		0.219798		37.470401
0.730303		0.219798		36.884095
0.732727		0.219798		36.312745
0.735152		0.219798		35.755934
0.737576		0.219798		35.213259
0.740000		0.219798		34.684330
0.742424		0.219798		34.168773
0.744848		0.219798		33.666226
0.747273		0.219798		33.176341
0.749697		0.219798		32.698781
0.752121		0.219798		32.233223
0.754545		0.219798		31.779354
0.756970		0.219798		31.336872
0.759394		0.219798		30.905487
0.761818		0.219798		30.484918
0.764242		0.219798		30.074895
0.766667		0.219798		29.675158
0.769091		0.219798		29.285455
0.771515		0.219798		28.905544
0.773939		0.219798		28.535191
0.776364		0.219798		28.174171
0.778788		0.219798		27.822266
0.781212		0.219798		27.479269
0.783636		0.219798		27.144977
0.786061		0.219798		26.819197
0.788485		0.219798		26.501742
0.790909		0.219798		26.192432
0.793333		0.219798		25.891095
0.795758		0.219798		25.597564
0.798182		0.219798		25.311680
0.800606		0.219798		25.033289
0.803030		0.219798		24.762244
0.805455		0.219798		24.498404
0.807879		0.219798		24.241634
0.810303		0.219798		23.991804
0.812727		0.219798		23.748791
0.815152		0.219798		23.512477
0.817576		0.219798		23.282748
0.820000		0.219798		23.059498
0.580000		0.247273		137.808583
0.582424		0.247273		134.046576
0.584848		0.247273		130.421930
0.587273		0.247273		126.928517
0.589697		0.247273		123.560534
0.592121		0.247273		120.312484
0.594545		0.247273		117.179155
0.596970		0.247273		114.155606
