100
100
T [fm^-1]		muB [fm^-1]		G_dfce [1]
0.756970		0.082424		0.174755
0.759394		0.082424		0.175031
0.761818		0.082424		0.175306
0.764242		0.082424		0.175582
0.766667		0.082424		0.175858
0.769091		0.082424		0.176134
0.771515		0.082424		0.176410
0.773939		0.082424		0.176686
0.776364		0.082424		0.176962
0.778788		0.082424		0.177238
0.781212		0.082424		0.177514
0.783636		0.082424		0.177789
0.786061		0.082424		0.178065
0.788485		0.082424		0.178340
0.790909		0.082424		0.178615
0.793333		0.082424		0.178890
0.795758		0.082424		0.179164
0.798182		0.082424		0.179438
0.800606		0.082424		0.179712
0.803030		0.082424		0.179985
0.805455		0.082424		0.180258
0.807879		0.082424		0.180531
0.810303		0.082424		0.180803
0.812727		0.082424		0.181075
0.815152		0.082424		0.181346
0.817576		0.082424		0.181617
0.820000		0.082424		0.181887
0.580000		0.109899		0.211744
0.582424		0.109899		0.211838
0.584848		0.109899		0.211941
0.587273		0.109899		0.212054
0.589697		0.109899		0.212176
0.592121		0.109899		0.212307
0.594545		0.109899		0.212447
0.596970		0.109899		0.212595
0.599394		0.109899		0.212751
0.601818		0.109899		0.212915
0.604242		0.109899		0.213088
0.606667		0.109899		0.213268
0.609091		0.109899		0.213455
0.611515		0.109899		0.213650
0.613939		0.109899		0.213851
0.616364		0.109899		0.214060
0.618788		0.109899		0.214275
0.621212		0.109899		0.214497
0.623636		0.109899		0.214725
0.626061		0.109899		0.214959
0.628485		0.109899		0.215199
0.630909		0.109899		0.215445
0.633333		0.109899		0.215697
0.635758		0.109899		0.215954
0.638182		0.109899		0.216216
0.640606		0.109899		0.216483
0.643030		0.109899		0.216755
0.645455		0.109899		0.217032
0.647879		0.109899		0.217314
0.650303		0.109899		0.217600
0.652727		0.109899		0.217891
0.655152		0.109899		0.218185
0.657576		0.109899		0.218484
0.660000		0.109899		0.218787
0.662424		0.109899		0.219093
0.664848		0.109899		0.219403
0.667273		0.109899		0.219717
0.669697		0.109899		0.220034
0.672121		0.109899		0.220354
0.674545		0.109899		0.220677
0.676970		0.109899		0.221003
0.679394		0.109899		0.221333
0.681818		0.109899		0.221665
0.684242		0.109899		0.221999
0.686667		0.109899		0.222336
0.689091		0.109899		0.222676
0.691515		0.109899		0.223018
0.693939		0.109899		0.223362
0.696364		0.109899		0.223708
0.698788		0.109899		0.224057
0.701212		0.109899		0.224407
0.703636		0.109899		0.224759
0.706061		0.109899		0.225113
0.708485		0.109899		0.225468
0.710909		0.109899		0.225825
0.713333		0.109899		0.226184
0.715758		0.109899		0.226544
0.718182		0.109899		0.226905
0.720606		0.109899		0.227268
0.723030		0.109899		0.227631
0.725455		0.109899		0.227996
0.727879		0.109899		0.228362
0.730303		0.109899		0.228729
0.732727		0.109899		0.229096
0.735152		0.109899		0.229464
0.737576		0.109899		0.229834
0.740000		0.109899		0.230203
0.742424		0.109899		0.230574
0.744848		0.109899		0.230944
0.747273		0.109899		0.231316
0.749697		0.109899		0.231688
0.752121		0.109899		0.232060
0.754545		0.109899		0.232432
0.756970		0.109899		0.232805
0.759394		0.109899		0.233178
0.761818		0.109899		0.233551
0.764242		0.109899		0.233924
0.766667		0.109899		0.234297
0.769091		0.109899		0.234670
0.771515		0.109899		0.235043
0.773939		0.109899		0.235416
0.776364		0.109899		0.235789
0.778788		0.109899		0.236162
0.781212		0.109899		0.236534
0.783636		0.109899		0.236906
0.786061		0.109899		0.237278
0.788485		0.109899		0.237650
0.790909		0.109899		0.238021
0.793333		0.109899		0.238392
0.795758		0.109899		0.238762
0.798182		0.109899		0.239132
0.800606		0.109899		0.239501
0.803030		0.109899		0.239870
0.805455		0.109899		0.240238
0.807879		0.109899		0.240606
0.810303		0.109899		0.240973
0.812727		0.109899		0.241339
0.815152		0.109899		0.241705
0.817576		0.109899		0.242070
0.820000		0.109899		0.242434
0.580000		0.137374		0.263292
0.582424		0.137374		0.263432
0.584848		0.137374		0.263583
0.587273		0.137374		0.263746
0.589697		0.137374		0.263920
0.592121		0.137374		0.264105
0.594545		0.137374		0.264300
0.596970		0.137374		0.264506
0.599394		0.137374		0.264721
0.601818		0.137374		0.264947
0.604242		0.137374		0.265182
0.606667		0.137374		0.265427
0.609091		0.137374		0.265680
0.611515		0.137374		0.265943
0.613939		0.137374		0.266214
0.616364		0.137374		0.266493
0.618788		0.137374		0.266780
0.621212		0.137374		0.267076
0.623636		0.137374		0.267379
0.626061		0.137374		0.267689
0.628485		0.137374		0.268007
0.630909		0.137374		0.268331
0.633333		0.137374		0.268663
0.635758		0.137374		0.269001
0.638182		0.137374		0.269345
0.640606		0.137374		0.269696
0.643030		0.137374		0.270052
0.645455		0.137374		0.270415
0.647879		0.137374		0.270782
0.650303		0.137374		0.271156
0.652727		0.137374		0.271534
0.655152		0.137374		0.271918
0.657576		0.137374		0.272306
0.660000		0.137374		0.272700
0.662424		0.137374		0.273097
0.664848		0.137374		0.273499
0.667273		0.137374		0.273906
0.669697		0.137374		0.274316
0.672121		0.137374		0.274730
0.674545		0.137374		0.275148
0.676970		0.137374		0.275569
0.679394		0.137374		0.275994
0.681818		0.137374		0.276423
0.684242		0.137374		0.276854
0.686667		0.137374		0.277288
0.689091		0.137374		0.277726
0.691515		0.137374		0.278166
0.693939		0.137374		0.278608
0.696364		0.137374		0.279053
0.698788		0.137374		0.279501
0.701212		0.137374		0.279951
0.703636		0.137374		0.280403
0.706061		0.137374		0.280857
0.708485		0.137374		0.281313
0.710909		0.137374		0.281770
0.713333		0.137374		0.282230
0.715758		0.137374		0.282691
0.718182		0.137374		0.283153
0.720606		0.137374		0.283617
0.723030		0.137374		0.284082
0.725455		0.137374		0.284549
0.727879		0.137374		0.285016
0.730303		0.137374		0.285485
0.732727		0.137374		0.285954
0.735152		0.137374		0.286425
0.737576		0.137374		0.286896
0.740000		0.137374		0.287368
0.742424		0.137374		0.287840
0.744848		0.137374		0.288313
0.747273		0.137374		0.288787
0.749697		0.137374		0.289261
0.752121		0.137374		0.289735
0.754545		0.137374		0.290209
0.756970		0.137374		0.290684
0.759394		0.137374		0.291159
0.761818		0.137374		0.291634
0.764242		0.137374		0.292109
0.766667		0.137374		0.292583
0.769091		0.137374		0.293058
0.771515		0.137374		0.293532
0.773939		0.137374		0.294007
0.776364		0.137374		0.294481
0.778788		0.137374		0.294954
0.781212		0.137374		0.295428
0.783636		0.137374		0.295900
0.786061		0.137374		0.296373
0.788485		0.137374		0.296845
0.790909		0.137374		0.297316
0.793333		0.137374		0.297787
0.795758		0.137374		0.298256
0.798182		0.137374		0.298726
0.800606		0.137374		0.299194
0.803030		0.137374		0.299662
0.805455		0.137374		0.300129
0.807879		0.137374		0.300595
0.810303		0.137374		0.301060
0.812727		0.137374		0.301524
0.815152		0.137374		0.301988
0.817576		0.137374		0.302450
0.820000		0.137374		0.302911
