T [fm^-1]		muB [fm^-1]		betaV_dfce [fm^-3]
0.788485		0.109899		0.004650
0.790909		0.109899		0.004802
0.793333		0.109899		0.004958
0.795758		0.109899		0.005118
0.798182		0.109899		0.005283
0.800606		0.109899		0.005452
0.803030		0.109899		0.005626
0.805455		0.109899		0.005805
0.807879		0.109899		0.005989
0.810303		0.109899		0.006177
0.812727		0.109899		0.006371
0.815152		0.109899		0.006570
0.817576		0.109899		0.006774
0.820000		0.109899		0.006984
0.580000		0.137374		0.000147
0.582424		0.137374		0.000155
0.584848		0.137374		0.000163
0.587273		0.137374		0.000171
0.589697		0.137374		0.000180
0.592121		0.137374		0.000189
0.594545		0.137374		0.000199
0.596970		0.137374		0.000209
0.599394		0.137374		0.000219
0.601818		0.137374		0.000230
0.604242		0.137374		0.000241
0.606667		0.137374		0.000253
0.609091		0.137374		0.000265
0.611515		0.137374		0.000277
0.613939		0.137374		0.000291
0.616364		0.137374		0.000305
0.618788		0.137374		0.000319
0.621212		0.137374		0.000334
0.623636		0.137374		0.000349
0.626061		0.137374		0.000366
0.628485		0.137374		0.000382
0.630909		0.137374		0.000400
0.633333		0.137374		0.000418
0.635758		0.137374		0.000437
0.638182		0.137374		0.000457
0.640606		0.137374		0.000477
0.643030		0.137374		0.000498
0.645455		0.137374		0.000520
0.647879		0.137374		0.000543
0.650303		0.137374		0.000567
0.652727		0.137374		0.000592
0.655152		0.137374		0.000617
0.657576		0.137374		0.000644
0.660000		0.137374		0.000671
0.662424		0.137374		0.000700
0.664848		0.137374		0.000729
0.667273		0.137374		0.000760
0.669697		0.137374		0.000792
0.672121		0.137374		0.000825
0.674545		0.137374		0.000859
0.676970		0.137374		0.000894
0.679394		0.137374		0.000931
0.681818		0.137374		0.000969
0.684242		0.137374		0.001008
0.686667		0.137374		0.001048
0.689091		0.137374		0.001090
0.691515		0.137374		0.001134
0.693939		0.137374		0.001179
0.696364		0.137374		0.001225
0.698788		0.137374		0.001273
0.701212		0.137374		0.001323
0.703636		0.137374		0.001375
0.706061		0.137374		0.001428
0.708485		0.137374		0.001483
0.710909		0.137374		0.001539
0.713333		0.137374		0.001598
0.715758		0.137374		0.001658
0.718182		0.137374		0.001721
0.720606		0.137374		0.001785
0.723030		0.137374		0.001852
0.725455		0.137374		0.001920
0.727879		0.137374		0.001991
0.730303		0.137374		0.002064
0.732727		0.137374		0.002140
0.735152		0.137374		0.002218
0.737576		0.137374		0.002298
0.740000		0.137374		0.002381
0.742424		0.137374		0.002466
0.744848		0.137374		0.002554
0.747273		0.137374		0.002645
0.749697		0.137374		0.002738
0.752121		0.137374		0.002834
0.754545		0.137374		0.002934
0.756970		0.137374		0.003036
0.759394		0.137374		0.003141
0.761818		0.137374		0.003249
0.764242		0.137374		0.003361
0.766667		0.137374		0.003476
0.769091		0.137374		0.003594
0.771515		0.137374		0.003715
0.773939		0.137374		0.003840
0.776364		0.137374		0.003969
0.778788		0.137374		0.004102
0.781212		0.137374		0.004238
0.783636		0.137374		0.004378
0.786061		0.137374		0.004522
0.788485		0.137374		0.004670
0.790909		0.137374		0.004823
0.793333		0.137374		0.004979
0.795758		0.137374		0.005140
0.798182		0.137374		0.005306
0.800606		0.137374		0.005476
0.803030		0.137374		0.005650
0.805455		0.137374		0.005830
0.807879		0.137374		0.006014
0.810303		0.137374		0.006203
0.812727		0.137374		0.006397
0.815152		0.137374		0.006597
0.817576		0.137374		0.006802
0.820000		0.137374		0.007012
0.580000		0.164848		0.000149
0.582424		0.164848		0.000157
0.584848		0.164848		0.000165
0.587273		0.164848		0.000173
0.589697		0.164848		0.000182
0.592121		0.164848		0.000191
0.594545		0.164848		0.000201
0.596970		0.164848		0.000211
0.599394		0.164848		0.000221
0.601818		0.164848		0.000232
0.604242		0.164848		0.000243
0.606667		0.164848		0.000255
0.609091		0.164848		0.000267
0.611515		0.164848		0.000280
0.613939		0.164848		0.000294
0.616364		0.164848		0.000307
0.618788		0.164848		0.000322
0.621212		0.164848		0.000337
0.623636		0.164848		0.000353
0.626061		0.164848		0.000369
0.628485		0.164848		0.000386
0.630909		0.164848		0.000404
0.633333		0.164848		0.000422
0.635758		0.164848		0.000441
0.638182		0.164848		0.000461
0.640606		0.164848		0.000481
0.643030		0.164848		0.000503
0.645455		0.164848		0.000525
0.647879		0.164848		0.000548
0.650303		0.164848		0.000572
0.652727		0.164848		0.000597
0.655152		0.164848		0.000622
0.657576		0.164848		0.000649
0.660000		0.164848		0.000677
0.662424		0.164848		0.000705
0.664848		0.164848		0.000735
0.667273		0.164848		0.000766
0.669697		0.164848		0.000798
0.672121		0.164848		0.000831
0.674545		0.164848		0.000866
0.676970		0.164848		0.000901
0.679394		0.164848		0.000938
0.681818		0.164848		0.000976
0.684242		0.164848		0.001016
0.686667		0.164848		0.001056
0.689091		0.164848		0.001099
0.691515		0.164848		0.001142
0.693939		0.164848		0.001188
0.696364		0.164848		0.001234
0.698788		0.164848		0.001283
0.701212		0.164848		0.001333
0.703636		0.164848		0.001384
0.706061		0.164848		0.001438
0.708485		0.164848		0.001493
0.710909		0.164848		0.001550
0.713333		0.164848		0.001609
0.715758		0.164848		0.001670
0.718182		0.164848		0.001732
0.720606		0.164848		0.001797
0.723030		0.164848		0.001864
0.725455		0.164848		0.001933
0.727879		0.164848		0.002004
0.730303		0.164848		0.002078
0.732727		0.164848		0.002154
0.735152		0.164848		0.002232
0.737576		0.164848		0.002313
0.740000		0.164848		0.002396
0.742424		0.164848		0.002481
0.744848		0.164848		0.002570
0.747273		0.164848		0.002661
0.749697		0.164848		0.002755
0.752121		0.164848		0.002851
0.754545		0.164848		0.002951
0.756970		0.164848		0.003054
0.759394		0.164848		0.003159
0.761818		0.164848		0.003268
0.764242		0.164848		0.003380
0.766667		0.164848		0.003496
0.769091		0.164848		0.003614
0.771515		0.164848		0.003736
0.773939		0.164848		0.003862
0.776364		0.164848		0.003992
0.778788		0.164848		0.004125
0.781212		0.164848		0.004261
0.783636		0.164848		0.004402
0.786061		0.164848		0.004547
0.788485		0.164848		0.004696
0.790909		0.164848		0.004849
0.793333		0.164848		0.005006
0.795758		0.164848		0.005167
0.798182		0.164848		0.005334
0.800606		0.164848		0.005504
0.803030		0.164848		0.005680
0.805455		0.164848		0.005860
0.807879		0.164848		0.006045
0.810303		0.164848		0.006235
0.812727		0.164848		0.006430
0.815152		0.164848		0.006630
0.817576		0.164848		0.006835
0.820000		0.164848		0.007046
0.580000		0.192323		0.000151
0.582424		0.192323		0.000159
0.584848		0.192323		0.000167
0.587273		0.192323		0.000175
0.589697		0.192323		0.000184
0.592121		0.192323		0.000194
0.594545		0.192323		0.000203
0.596970		0.192323		0.000213
0.599394		0.192323		0.000224
0.601818		0.192323		0.000235
0.604242		0.192323		0.000246
0.606667		0.192323		0.000258
0.609091		0.192323		0.000271
0.611515		0.192323		0.000283
0.613939		0.192323		0.000297
0.616364		0.192323		0.000311
0.618788		0.192323		0.000326
0.621212		0.192323		0.000341
0.623636		0.192323		0.000357
0.626061		0.192323		0.000373
0.628485		0.192323		0.000390
0.630909		0.192323		0.000408
0.633333		0.192323		0.000426
0.635758		0.192323		0.000446
0.638182		0.192323		0.000466
0.640606		0.192323		0.000486
0.643030		0.192323		0.000508
0.645455		0.192323		0.000530
0.647879		0.192323		0.000553
0.650303		0.192323		0.000578
0.652727		0.192323		0.000603
0.655152		0.192323		0.000628
0.657576		0.192323		0.000655
0.660000		0.192323		0.000683
0.662424		0.192323		0.000712
0.664848		0.192323		0.000742
0.667273		0.192323		0.000773
0.669697		0.192323		0.000806
0.672121		0.192323		0.000839
0.674545		0.192323		0.000874
0.676970		0.192323		0.000909
