101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.199000		0.020000		-0.015563
0.200000		0.020000		-0.015104
0.100000		0.030000		-2.799371
0.101000		0.030000		-2.550586
0.102000		0.030000		-2.327578
0.103000		0.030000		-2.127321
0.104000		0.030000		-1.947186
0.105000		0.030000		-1.784880
0.106000		0.030000		-1.638400
0.107000		0.030000		-1.505994
0.108000		0.030000		-1.386126
0.109000		0.030000		-1.277446
0.110000		0.030000		-1.178766
0.111000		0.030000		-1.089039
0.112000		0.030000		-1.007340
0.113000		0.030000		-0.932850
0.114000		0.030000		-0.864844
0.115000		0.030000		-0.802678
0.116000		0.030000		-0.745781
0.117000		0.030000		-0.693641
0.118000		0.030000		-0.645805
0.119000		0.030000		-0.601867
0.120000		0.030000		-0.561463
0.121000		0.030000		-0.524269
0.122000		0.030000		-0.489992
0.123000		0.030000		-0.458370
0.124000		0.030000		-0.429168
0.125000		0.030000		-0.402174
0.126000		0.030000		-0.377196
0.127000		0.030000		-0.354062
0.128000		0.030000		-0.332614
0.129000		0.030000		-0.312714
0.130000		0.030000		-0.294231
0.131000		0.030000		-0.277050
0.132000		0.030000		-0.261066
0.133000		0.030000		-0.246182
0.134000		0.030000		-0.232312
0.135000		0.030000		-0.219377
0.136000		0.030000		-0.207303
0.137000		0.030000		-0.196025
0.138000		0.030000		-0.185482
0.139000		0.030000		-0.175619
0.140000		0.030000		-0.166385
0.141000		0.030000		-0.157735
0.142000		0.030000		-0.149625
0.143000		0.030000		-0.142017
0.144000		0.030000		-0.134875
0.145000		0.030000		-0.128166
0.146000		0.030000		-0.121859
0.147000		0.030000		-0.115927
0.148000		0.030000		-0.110344
0.149000		0.030000		-0.105086
0.150000		0.030000		-0.100131
0.151000		0.030000		-0.095459
0.152000		0.030000		-0.091052
0.153000		0.030000		-0.086892
0.154000		0.030000		-0.082962
0.155000		0.030000		-0.079249
0.156000		0.030000		-0.075738
0.157000		0.030000		-0.072416
0.158000		0.030000		-0.069272
0.159000		0.030000		-0.066295
0.160000		0.030000		-0.063474
0.161000		0.030000		-0.060800
0.162000		0.030000		-0.058264
0.163000		0.030000		-0.055857
0.164000		0.030000		-0.053573
0.165000		0.030000		-0.051403
0.166000		0.030000		-0.049341
0.167000		0.030000		-0.047381
0.168000		0.030000		-0.045517
0.169000		0.030000		-0.043743
0.170000		0.030000		-0.042055
0.171000		0.030000		-0.040447
0.172000		0.030000		-0.038915
0.173000		0.030000		-0.037455
0.174000		0.030000		-0.036063
0.175000		0.030000		-0.034735
0.176000		0.030000		-0.033468
0.177000		0.030000		-0.032258
0.178000		0.030000		-0.031103
0.179000		0.030000		-0.029999
0.180000		0.030000		-0.028945
0.181000		0.030000		-0.027936
0.182000		0.030000		-0.026972
0.183000		0.030000		-0.026049
0.184000		0.030000		-0.025166
0.185000		0.030000		-0.024320
0.186000		0.030000		-0.023510
0.187000		0.030000		-0.022734
0.188000		0.030000		-0.021990
0.189000		0.030000		-0.021277
0.190000		0.030000		-0.020593
0.191000		0.030000		-0.019937
0.192000		0.030000		-0.019308
0.193000		0.030000		-0.018703
0.194000		0.030000		-0.018123
0.195000		0.030000		-0.017565
0.196000		0.030000		-0.017029
0.197000		0.030000		-0.016514
0.198000		0.030000		-0.016019
0.199000		0.030000		-0.015543
0.200000		0.030000		-0.015085
0.100000		0.040000		-2.715544
0.101000		0.040000		-2.476117
0.102000		0.040000		-2.261324
0.103000		0.040000		-2.068291
0.104000		0.040000		-1.894519
0.105000		0.040000		-1.737827
0.106000		0.040000		-1.596308
0.107000		0.040000		-1.468293
0.108000		0.040000		-1.352316
0.109000		0.040000		-1.247090
0.110000		0.040000		-1.151479
0.111000		0.040000		-1.064484
0.112000		0.040000		-0.985220
0.113000		0.040000		-0.912902
0.114000		0.040000		-0.846837
0.115000		0.040000		-0.786407
0.116000		0.040000		-0.731064
0.117000		0.040000		-0.680318
0.118000		0.040000		-0.633732
0.119000		0.040000		-0.590917
0.120000		0.040000		-0.551524
0.121000		0.040000		-0.515239
0.122000		0.040000		-0.481781
0.123000		0.040000		-0.450898
0.124000		0.040000		-0.422364
0.125000		0.040000		-0.395972
0.126000		0.040000		-0.371539
0.127000		0.040000		-0.348898
0.128000		0.040000		-0.327898
0.129000		0.040000		-0.308403
0.130000		0.040000		-0.290287
0.131000		0.040000		-0.273441
0.132000		0.040000		-0.257760
0.133000		0.040000		-0.243152
0.134000		0.040000		-0.229534
0.135000		0.040000		-0.216827
0.136000		0.040000		-0.204961
0.137000		0.040000		-0.193873
0.138000		0.040000		-0.183504
0.139000		0.040000		-0.173799
0.140000		0.040000		-0.164711
0.141000		0.040000		-0.156193
0.142000		0.040000		-0.148204
0.143000		0.040000		-0.140707
0.144000		0.040000		-0.133666
0.145000		0.040000		-0.127050
0.146000		0.040000		-0.120829
0.147000		0.040000		-0.114975
0.148000		0.040000		-0.109464
0.149000		0.040000		-0.104272
0.150000		0.040000		-0.099378
0.151000		0.040000		-0.094763
0.152000		0.040000		-0.090407
0.153000		0.040000		-0.086294
0.154000		0.040000		-0.082408
0.155000		0.040000		-0.078735
0.156000		0.040000		-0.075261
0.157000		0.040000		-0.071974
0.158000		0.040000		-0.068861
0.159000		0.040000		-0.065913
0.160000		0.040000		-0.063119
0.161000		0.040000		-0.060470
0.162000		0.040000		-0.057957
0.163000		0.040000		-0.055572
0.164000		0.040000		-0.053307
0.165000		0.040000		-0.051155
0.166000		0.040000		-0.049110
0.167000		0.040000		-0.047166
0.168000		0.040000		-0.045316
0.169000		0.040000		-0.043556
0.170000		0.040000		-0.041880
0.171000		0.040000		-0.040284
0.172000		0.040000		-0.038763
0.173000		0.040000		-0.037313
0.174000		0.040000		-0.035930
0.175000		0.040000		-0.034611
0.176000		0.040000		-0.033352
0.177000		0.040000		-0.032150
0.178000		0.040000		-0.031001
0.179000		0.040000		-0.029904
0.180000		0.040000		-0.028856
0.181000		0.040000		-0.027853
0.182000		0.040000		-0.026894
0.183000		0.040000		-0.025976
0.184000		0.040000		-0.025097
0.185000		0.040000		-0.024256
0.186000		0.040000		-0.023450
0.187000		0.040000		-0.022677
0.188000		0.040000		-0.021937
0.189000		0.040000		-0.021227
0.190000		0.040000		-0.020546
0.191000		0.040000		-0.019893
0.192000		0.040000		-0.019266
0.193000		0.040000		-0.018664
0.194000		0.040000		-0.018086
0.195000		0.040000		-0.017531
0.196000		0.040000		-0.016997
0.197000		0.040000		-0.016484
0.198000		0.040000		-0.015991
0.199000		0.040000		-0.015516
0.200000		0.040000		-0.015059
0.100000		0.050000		-2.613987
0.101000		0.050000		-2.385780
0.102000		0.050000		-2.180850
0.103000		0.050000		-1.996504
0.104000		0.050000		-1.830394
0.105000		0.050000		-1.680471
0.106000		0.050000		-1.544941
0.107000		0.050000		-1.422232
0.108000		0.050000		-1.310965
0.109000		0.050000		-1.209924
0.110000		0.050000		-1.118038
0.111000		0.050000		-1.034361
0.112000		0.050000		-0.958056
0.113000		0.050000		-0.888383
0.114000		0.050000		-0.824683
0.115000		0.050000		-0.766371
0.116000		0.050000		-0.712926
0.117000		0.050000		-0.663883
0.118000		0.050000		-0.618827
