100
100
T [fm^-1]		muB [fm^-1]		F_dfce [fm^-1]
0.766667		0.054949		-0.262652
0.769091		0.054949		-0.264210
0.771515		0.054949		-0.265774
0.773939		0.054949		-0.267343
0.776364		0.054949		-0.268918
0.778788		0.054949		-0.270498
0.781212		0.054949		-0.272083
0.783636		0.054949		-0.273673
0.786061		0.054949		-0.275268
0.788485		0.054949		-0.276869
0.790909		0.054949		-0.278475
0.793333		0.054949		-0.280086
0.795758		0.054949		-0.281702
0.798182		0.054949		-0.283324
0.800606		0.054949		-0.284950
0.803030		0.054949		-0.286582
0.805455		0.054949		-0.288219
0.807879		0.054949		-0.289860
0.810303		0.054949		-0.291507
0.812727		0.054949		-0.293159
0.815152		0.054949		-0.294816
0.817576		0.054949		-0.296478
0.820000		0.054949		-0.298145
0.580000		0.082424		-0.160566
0.582424		0.082424		-0.161647
0.584848		0.082424		-0.162735
0.587273		0.082424		-0.163831
0.589697		0.082424		-0.164933
0.592121		0.082424		-0.166043
0.594545		0.082424		-0.167159
0.596970		0.082424		-0.168283
0.599394		0.082424		-0.169413
0.601818		0.082424		-0.170551
0.604242		0.082424		-0.171695
0.606667		0.082424		-0.172847
0.609091		0.082424		-0.174006
0.611515		0.082424		-0.175171
0.613939		0.082424		-0.176343
0.616364		0.082424		-0.177523
0.618788		0.082424		-0.178709
0.621212		0.082424		-0.179902
0.623636		0.082424		-0.181102
0.626061		0.082424		-0.182308
0.628485		0.082424		-0.183522
0.630909		0.082424		-0.184742
0.633333		0.082424		-0.185968
0.635758		0.082424		-0.187202
0.638182		0.082424		-0.188442
0.640606		0.082424		-0.189689
0.643030		0.082424		-0.190942
0.645455		0.082424		-0.192202
0.647879		0.082424		-0.193468
0.650303		0.082424		-0.194741
0.652727		0.082424		-0.196021
0.655152		0.082424		-0.197307
0.657576		0.082424		-0.198599
0.660000		0.082424		-0.199898
0.662424		0.082424		-0.201203
0.664848		0.082424		-0.202515
0.667273		0.082424		-0.203833
0.669697		0.082424		-0.205157
0.672121		0.082424		-0.206487
0.674545		0.082424		-0.207824
0.676970		0.082424		-0.209167
0.679394		0.082424		-0.210516
0.681818		0.082424		-0.211871
0.684242		0.082424		-0.213232
0.686667		0.082424		-0.214600
0.689091		0.082424		-0.215974
0.691515		0.082424		-0.217353
0.693939		0.082424		-0.218739
0.696364		0.082424		-0.220131
0.698788		0.082424		-0.221528
0.701212		0.082424		-0.222932
0.703636		0.082424		-0.224341
0.706061		0.082424		-0.225757
0.708485		0.082424		-0.227178
0.710909		0.082424		-0.228606
0.713333		0.082424		-0.230039
0.715758		0.082424		-0.231477
0.718182		0.082424		-0.232922
0.720606		0.082424		-0.234372
0.723030		0.082424		-0.235829
0.725455		0.082424		-0.237290
0.727879		0.082424		-0.238758
0.730303		0.082424		-0.240231
0.732727		0.082424		-0.241710
0.735152		0.082424		-0.243195
0.737576		0.082424		-0.244685
0.740000		0.082424		-0.246180
0.742424		0.082424		-0.247682
0.744848		0.082424		-0.249188
0.747273		0.082424		-0.250701
0.749697		0.082424		-0.252219
0.752121		0.082424		-0.253742
0.754545		0.082424		-0.255271
0.756970		0.082424		-0.256805
0.759394		0.082424		-0.258344
0.761818		0.082424		-0.259889
0.764242		0.082424		-0.261440
0.766667		0.082424		-0.262995
0.769091		0.082424		-0.264556
0.771515		0.082424		-0.266123
0.773939		0.082424		-0.267694
0.776364		0.082424		-0.269271
0.778788		0.082424		-0.270854
0.781212		0.082424		-0.272441
0.783636		0.082424		-0.274034
0.786061		0.082424		-0.275632
0.788485		0.082424		-0.277235
0.790909		0.082424		-0.278843
0.793333		0.082424		-0.280457
0.795758		0.082424		-0.282075
0.798182		0.082424		-0.283699
0.800606		0.082424		-0.285328
0.803030		0.082424		-0.286962
0.805455		0.082424		-0.288601
0.807879		0.082424		-0.290245
0.810303		0.082424		-0.291894
0.812727		0.082424		-0.293548
0.815152		0.082424		-0.295207
0.817576		0.082424		-0.296871
0.820000		0.082424		-0.298541
0.580000		0.109899		-0.160756
0.582424		0.109899		-0.161841
0.584848		0.109899		-0.162932
0.587273		0.109899		-0.164031
0.589697		0.109899		-0.165137
0.592121		0.109899		-0.166250
0.594545		0.109899		-0.167371
0.596970		0.109899		-0.168498
0.599394		0.109899		-0.169632
0.601818		0.109899		-0.170774
0.604242		0.109899		-0.171922
0.606667		0.109899		-0.173077
0.609091		0.109899		-0.174240
0.611515		0.109899		-0.175409
0.613939		0.109899		-0.176585
0.616364		0.109899		-0.177768
0.618788		0.109899		-0.178958
0.621212		0.109899		-0.180155
0.623636		0.109899		-0.181359
0.626061		0.109899		-0.182569
0.628485		0.109899		-0.183786
0.630909		0.109899		-0.185010
0.633333		0.109899		-0.186241
0.635758		0.109899		-0.187478
0.638182		0.109899		-0.188722
0.640606		0.109899		-0.189973
0.643030		0.109899		-0.191230
0.645455		0.109899		-0.192494
0.647879		0.109899		-0.193764
0.650303		0.109899		-0.195041
0.652727		0.109899		-0.196325
0.655152		0.109899		-0.197614
0.657576		0.109899		-0.198911
0.660000		0.109899		-0.200213
0.662424		0.109899		-0.201523
0.664848		0.109899		-0.202838
0.667273		0.109899		-0.204160
0.669697		0.109899		-0.205488
0.672121		0.109899		-0.206822
0.674545		0.109899		-0.208163
0.676970		0.109899		-0.209510
0.679394		0.109899		-0.210863
0.681818		0.109899		-0.212222
0.684242		0.109899		-0.213587
0.686667		0.109899		-0.214958
0.689091		0.109899		-0.216336
0.691515		0.109899		-0.217719
0.693939		0.109899		-0.219109
0.696364		0.109899		-0.220504
0.698788		0.109899		-0.221906
0.701212		0.109899		-0.223314
0.703636		0.109899		-0.224727
0.706061		0.109899		-0.226146
0.708485		0.109899		-0.227571
0.710909		0.109899		-0.229002
0.713333		0.109899		-0.230439
0.715758		0.109899		-0.231882
0.718182		0.109899		-0.233330
0.720606		0.109899		-0.234784
0.723030		0.109899		-0.236244
0.725455		0.109899		-0.237710
0.727879		0.109899		-0.239181
0.730303		0.109899		-0.240658
0.732727		0.109899		-0.242141
0.735152		0.109899		-0.243629
0.737576		0.109899		-0.245123
0.740000		0.109899		-0.246622
0.742424		0.109899		-0.248127
0.744848		0.109899		-0.249637
0.747273		0.109899		-0.251153
0.749697		0.109899		-0.252675
0.752121		0.109899		-0.254202
0.754545		0.109899		-0.255734
0.756970		0.109899		-0.257272
0.759394		0.109899		-0.258815
0.761818		0.109899		-0.260363
0.764242		0.109899		-0.261917
0.766667		0.109899		-0.263476
0.769091		0.109899		-0.265041
0.771515		0.109899		-0.266611
0.773939		0.109899		-0.268186
0.776364		0.109899		-0.269766
0.778788		0.109899		-0.271352
0.781212		0.109899		-0.272943
0.783636		0.109899		-0.274539
0.786061		0.109899		-0.276140
0.788485		0.109899		-0.277747
0.790909		0.109899		-0.279358
0.793333		0.109899		-0.280975
0.795758		0.109899		-0.282597
0.798182		0.109899		-0.284224
0.800606		0.109899		-0.285856
0.803030		0.109899		-0.287493
0.805455		0.109899		-0.289135
0.807879		0.109899		-0.290783
0.810303		0.109899		-0.292435
0.812727		0.109899		-0.294092
0.815152		0.109899		-0.295755
0.817576		0.109899		-0.297422
0.820000		0.109899		-0.299094
0.580000		0.137374		-0.160999
0.582424		0.137374		-0.162088
0.584848		0.137374		-0.163185
0.587273		0.137374		-0.164288
0.589697		0.137374		-0.165399
0.592121		0.137374		-0.166517
0.594545		0.137374		-0.167642
0.596970		0.137374		-0.168774
0.599394		0.137374		-0.169913
0.601818		0.137374		-0.171059
0.604242		0.137374		-0.172212
0.606667		0.137374		-0.173372
0.609091		0.137374		-0.174539
