100
100
T [fm^-1]		muB [fm^-1]		betabulk_dfce [fm^-4]
0.715758		0.054949		-0.398701
0.718182		0.054949		-0.413839
0.720606		0.054949		-0.429481
0.723030		0.054949		-0.445644
0.725455		0.054949		-0.462342
0.727879		0.054949		-0.479591
0.730303		0.054949		-0.497405
0.732727		0.054949		-0.515802
0.735152		0.054949		-0.534797
0.737576		0.054949		-0.554408
0.740000		0.054949		-0.574651
0.742424		0.054949		-0.595544
0.744848		0.054949		-0.617105
0.747273		0.054949		-0.639353
0.749697		0.054949		-0.662306
0.752121		0.054949		-0.685984
0.754545		0.054949		-0.710406
0.756970		0.054949		-0.735592
0.759394		0.054949		-0.761563
0.761818		0.054949		-0.788341
0.764242		0.054949		-0.815946
0.766667		0.054949		-0.844400
0.769091		0.054949		-0.873727
0.771515		0.054949		-0.903948
0.773939		0.054949		-0.935087
0.776364		0.054949		-0.967169
0.778788		0.054949		-1.000218
0.781212		0.054949		-1.034258
0.783636		0.054949		-1.069315
0.786061		0.054949		-1.105415
0.788485		0.054949		-1.142585
0.790909		0.054949		-1.180852
0.793333		0.054949		-1.220244
0.795758		0.054949		-1.260788
0.798182		0.054949		-1.302514
0.800606		0.054949		-1.345450
0.803030		0.054949		-1.389628
0.805455		0.054949		-1.435077
0.807879		0.054949		-1.481829
0.810303		0.054949		-1.529916
0.812727		0.054949		-1.579370
0.815152		0.054949		-1.630224
0.817576		0.054949		-1.682512
0.820000		0.054949		-1.736268
0.580000		0.082424		-0.035974
0.582424		0.082424		-0.037825
0.584848		0.082424		-0.039757
0.587273		0.082424		-0.041773
0.589697		0.082424		-0.043877
0.592121		0.082424		-0.046072
0.594545		0.082424		-0.048361
0.596970		0.082424		-0.050748
0.599394		0.082424		-0.053236
0.601818		0.082424		-0.055830
0.604242		0.082424		-0.058533
0.606667		0.082424		-0.061349
0.609091		0.082424		-0.064282
0.611515		0.082424		-0.067336
0.613939		0.082424		-0.070516
0.616364		0.082424		-0.073826
0.618788		0.082424		-0.077271
0.621212		0.082424		-0.080856
0.623636		0.082424		-0.084585
0.626061		0.082424		-0.088463
0.628485		0.082424		-0.092496
0.630909		0.082424		-0.096689
0.633333		0.082424		-0.101048
0.635758		0.082424		-0.105578
0.638182		0.082424		-0.110285
0.640606		0.082424		-0.115176
0.643030		0.082424		-0.120255
0.645455		0.082424		-0.125530
0.647879		0.082424		-0.131008
0.650303		0.082424		-0.136694
0.652727		0.082424		-0.142597
0.655152		0.082424		-0.148722
0.657576		0.082424		-0.155078
0.660000		0.082424		-0.161671
0.662424		0.082424		-0.168510
0.664848		0.082424		-0.175603
0.667273		0.082424		-0.182957
0.669697		0.082424		-0.190581
0.672121		0.082424		-0.198484
0.674545		0.082424		-0.206674
0.676970		0.082424		-0.215161
0.679394		0.082424		-0.223954
0.681818		0.082424		-0.233063
0.684242		0.082424		-0.242496
0.686667		0.082424		-0.252266
0.689091		0.082424		-0.262381
0.691515		0.082424		-0.272852
0.693939		0.082424		-0.283690
0.696364		0.082424		-0.294907
0.698788		0.082424		-0.306514
0.701212		0.082424		-0.318522
0.703636		0.082424		-0.330944
0.706061		0.082424		-0.343792
0.708485		0.082424		-0.357078
0.710909		0.082424		-0.370817
0.713333		0.082424		-0.385020
0.715758		0.082424		-0.399701
0.718182		0.082424		-0.414875
0.720606		0.082424		-0.430555
0.723030		0.082424		-0.446757
0.725455		0.082424		-0.463496
0.727879		0.082424		-0.480785
0.730303		0.082424		-0.498643
0.732727		0.082424		-0.517083
0.735152		0.082424		-0.536124
0.737576		0.082424		-0.555781
0.740000		0.082424		-0.576072
0.742424		0.082424		-0.597015
0.744848		0.082424		-0.618627
0.747273		0.082424		-0.640927
0.749697		0.082424		-0.663934
0.752121		0.082424		-0.687668
0.754545		0.082424		-0.712147
0.756970		0.082424		-0.737392
0.759394		0.082424		-0.763424
0.761818		0.082424		-0.790264
0.764242		0.082424		-0.817933
0.766667		0.082424		-0.846453
0.769091		0.082424		-0.875848
0.771515		0.082424		-0.906139
0.773939		0.082424		-0.937350
0.776364		0.082424		-0.969505
0.778788		0.082424		-1.002630
0.781212		0.082424		-1.036748
0.783636		0.082424		-1.071885
0.786061		0.082424		-1.108067
0.788485		0.082424		-1.145322
0.790909		0.082424		-1.183675
0.793333		0.082424		-1.223156
0.795758		0.082424		-1.263791
0.798182		0.082424		-1.305611
0.800606		0.082424		-1.348643
0.803030		0.082424		-1.392920
0.805455		0.082424		-1.438470
0.807879		0.082424		-1.485326
0.810303		0.082424		-1.533520
0.812727		0.082424		-1.583083
0.815152		0.082424		-1.634049
0.817576		0.082424		-1.686452
0.820000		0.082424		-1.740326
0.580000		0.109899		-0.036111
0.582424		0.109899		-0.037968
0.584848		0.109899		-0.039906
0.587273		0.109899		-0.041930
0.589697		0.109899		-0.044041
0.592121		0.109899		-0.046244
0.594545		0.109899		-0.048542
0.596970		0.109899		-0.050937
0.599394		0.109899		-0.053435
0.601818		0.109899		-0.056038
0.604242		0.109899		-0.058750
0.606667		0.109899		-0.061576
0.609091		0.109899		-0.064520
0.611515		0.109899		-0.067585
0.613939		0.109899		-0.070776
0.616364		0.109899		-0.074098
0.618788		0.109899		-0.077555
0.621212		0.109899		-0.081153
0.623636		0.109899		-0.084895
0.626061		0.109899		-0.088787
0.628485		0.109899		-0.092835
0.630909		0.109899		-0.097043
0.633333		0.109899		-0.101417
0.635758		0.109899		-0.105963
0.638182		0.109899		-0.110687
0.640606		0.109899		-0.115594
0.643030		0.109899		-0.120692
0.645455		0.109899		-0.125986
0.647879		0.109899		-0.131483
0.650303		0.109899		-0.137189
0.652727		0.109899		-0.143112
0.655152		0.109899		-0.149259
0.657576		0.109899		-0.155637
0.660000		0.109899		-0.162253
0.662424		0.109899		-0.169116
0.664848		0.109899		-0.176234
0.667273		0.109899		-0.183614
0.669697		0.109899		-0.191264
0.672121		0.109899		-0.199195
0.674545		0.109899		-0.207414
0.676970		0.109899		-0.215930
0.679394		0.109899		-0.224754
0.681818		0.109899		-0.233894
0.684242		0.109899		-0.243360
0.686667		0.109899		-0.253163
0.689091		0.109899		-0.263313
0.691515		0.109899		-0.273820
0.693939		0.109899		-0.284696
0.696364		0.109899		-0.295951
0.698788		0.109899		-0.307598
0.701212		0.109899		-0.319647
0.703636		0.109899		-0.332112
0.706061		0.109899		-0.345004
0.708485		0.109899		-0.358335
