101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.197000		0.050000		6.431434
0.198000		0.050000		6.643971
0.199000		0.050000		6.861702
0.200000		0.050000		7.084702
0.100000		0.060000		0.030904
0.101000		0.060000		0.034023
0.102000		0.060000		0.037396
0.103000		0.060000		0.041040
0.104000		0.060000		0.044969
0.105000		0.060000		0.049202
0.106000		0.060000		0.053755
0.107000		0.060000		0.058647
0.108000		0.060000		0.063897
0.109000		0.060000		0.069525
0.110000		0.060000		0.075550
0.111000		0.060000		0.081995
0.112000		0.060000		0.088880
0.113000		0.060000		0.096229
0.114000		0.060000		0.104063
0.115000		0.060000		0.112409
0.116000		0.060000		0.121289
0.117000		0.060000		0.130731
0.118000		0.060000		0.140759
0.119000		0.060000		0.151402
0.120000		0.060000		0.162686
0.121000		0.060000		0.174641
0.122000		0.060000		0.187297
0.123000		0.060000		0.200683
0.124000		0.060000		0.214830
0.125000		0.060000		0.229771
0.126000		0.060000		0.245538
0.127000		0.060000		0.262165
0.128000		0.060000		0.279687
0.129000		0.060000		0.298138
0.130000		0.060000		0.317555
0.131000		0.060000		0.337975
0.132000		0.060000		0.359436
0.133000		0.060000		0.381977
0.134000		0.060000		0.405636
0.135000		0.060000		0.430455
0.136000		0.060000		0.456475
0.137000		0.060000		0.483738
0.138000		0.060000		0.512287
0.139000		0.060000		0.542166
0.140000		0.060000		0.573420
0.141000		0.060000		0.606094
0.142000		0.060000		0.640236
0.143000		0.060000		0.675891
0.144000		0.060000		0.713110
0.145000		0.060000		0.751940
0.146000		0.060000		0.792431
0.147000		0.060000		0.834635
0.148000		0.060000		0.878603
0.149000		0.060000		0.924387
0.150000		0.060000		0.972040
0.151000		0.060000		1.021617
0.152000		0.060000		1.073171
0.153000		0.060000		1.126760
0.154000		0.060000		1.182439
0.155000		0.060000		1.240265
0.156000		0.060000		1.300296
0.157000		0.060000		1.362591
0.158000		0.060000		1.427209
0.159000		0.060000		1.494211
0.160000		0.060000		1.563656
0.161000		0.060000		1.635607
0.162000		0.060000		1.710126
0.163000		0.060000		1.787275
0.164000		0.060000		1.867119
0.165000		0.060000		1.949720
0.166000		0.060000		2.035144
0.167000		0.060000		2.123457
0.168000		0.060000		2.214723
0.169000		0.060000		2.309011
0.170000		0.060000		2.406385
0.171000		0.060000		2.506915
0.172000		0.060000		2.610669
0.173000		0.060000		2.717714
0.174000		0.060000		2.828120
0.175000		0.060000		2.941957
0.176000		0.060000		3.059295
0.177000		0.060000		3.180203
0.178000		0.060000		3.304753
0.179000		0.060000		3.433016
0.180000		0.060000		3.565063
0.181000		0.060000		3.700967
0.182000		0.060000		3.840799
0.183000		0.060000		3.984633
0.184000		0.060000		4.132540
0.185000		0.060000		4.284595
0.186000		0.060000		4.440870
0.187000		0.060000		4.601438
0.188000		0.060000		4.766375
0.189000		0.060000		4.935753
0.190000		0.060000		5.109647
0.191000		0.060000		5.288132
0.192000		0.060000		5.471280
0.193000		0.060000		5.659168
0.194000		0.060000		5.851869
0.195000		0.060000		6.049458
0.196000		0.060000		6.252010
0.197000		0.060000		6.459599
0.198000		0.060000		6.672301
0.199000		0.060000		6.890190
0.200000		0.060000		7.113340
0.100000		0.070000		0.032633
0.101000		0.070000		0.035886
0.102000		0.070000		0.039400
0.103000		0.070000		0.043192
0.104000		0.070000		0.047276
0.105000		0.070000		0.051671
0.106000		0.070000		0.056395
0.107000		0.070000		0.061465
0.108000		0.070000		0.066900
0.109000		0.070000		0.072721
0.110000		0.070000		0.078948
0.111000		0.070000		0.085601
0.112000		0.070000		0.092703
0.113000		0.070000		0.100277
0.114000		0.070000		0.108344
0.115000		0.070000		0.116930
0.116000		0.070000		0.126059
0.117000		0.070000		0.135757
0.118000		0.070000		0.146049
0.119000		0.070000		0.156963
0.120000		0.070000		0.168527
0.121000		0.070000		0.180769
0.122000		0.070000		0.193719
0.123000		0.070000		0.207406
0.124000		0.070000		0.221862
0.125000		0.070000		0.237119
0.126000		0.070000		0.253209
0.127000		0.070000		0.270165
0.128000		0.070000		0.288022
0.129000		0.070000		0.306816
0.130000		0.070000		0.326581
0.131000		0.070000		0.347355
0.132000		0.070000		0.369175
0.133000		0.070000		0.392081
0.134000		0.070000		0.416110
0.135000		0.070000		0.441305
0.136000		0.070000		0.467704
0.137000		0.070000		0.495352
0.138000		0.070000		0.524290
0.139000		0.070000		0.554561
0.140000		0.070000		0.586212
0.141000		0.070000		0.619286
0.142000		0.070000		0.653830
0.143000		0.070000		0.689892
0.144000		0.070000		0.727519
0.145000		0.070000		0.766759
0.146000		0.070000		0.807663
0.147000		0.070000		0.850282
0.148000		0.070000		0.894665
0.149000		0.070000		0.940866
0.150000		0.070000		0.988937
0.151000		0.070000		1.038932
0.152000		0.070000		1.090905
0.153000		0.070000		1.144913
0.154000		0.070000		1.201010
0.155000		0.070000		1.259254
0.156000		0.070000		1.319702
0.157000		0.070000		1.382414
0.158000		0.070000		1.447446
0.159000		0.070000		1.514861
0.160000		0.070000		1.584718
