101
81
T [GeV]		muB [GeV]		c0_T4 [fm^3/GeV^3 * GeV^4]
0.170000		0.050000		-0.035275
0.171000		0.050000		-0.034180
0.172000		0.050000		-0.033125
0.173000		0.050000		-0.032109
0.174000		0.050000		-0.031129
0.175000		0.050000		-0.030184
0.176000		0.050000		-0.029273
0.177000		0.050000		-0.028394
0.178000		0.050000		-0.027547
0.179000		0.050000		-0.026730
0.180000		0.050000		-0.025941
0.181000		0.050000		-0.025180
0.182000		0.050000		-0.024445
0.183000		0.050000		-0.023736
0.184000		0.050000		-0.023051
0.185000		0.050000		-0.022390
0.186000		0.050000		-0.021752
0.187000		0.050000		-0.021135
0.188000		0.050000		-0.020540
0.189000		0.050000		-0.019964
0.190000		0.050000		-0.019408
0.191000		0.050000		-0.018871
0.192000		0.050000		-0.018351
0.193000		0.050000		-0.017849
0.194000		0.050000		-0.017363
0.195000		0.050000		-0.016894
0.196000		0.050000		-0.016440
0.197000		0.050000		-0.016001
0.198000		0.050000		-0.015576
0.199000		0.050000		-0.015164
0.200000		0.050000		-0.014767
0.100000		0.060000		-0.553554
0.101000		0.060000		-0.526114
0.102000		0.060000		-0.500309
0.103000		0.060000		-0.476024
0.104000		0.060000		-0.453152
0.105000		0.060000		-0.431596
0.106000		0.060000		-0.411267
0.107000		0.060000		-0.392081
0.108000		0.060000		-0.373962
0.109000		0.060000		-0.356840
0.110000		0.060000		-0.340650
0.111000		0.060000		-0.325331
0.112000		0.060000		-0.310829
0.113000		0.060000		-0.297092
0.114000		0.060000		-0.284072
0.115000		0.060000		-0.271725
0.116000		0.060000		-0.260010
0.117000		0.060000		-0.248888
0.118000		0.060000		-0.238325
0.119000		0.060000		-0.228287
0.120000		0.060000		-0.218744
0.121000		0.060000		-0.209667
0.122000		0.060000		-0.201030
0.123000		0.060000		-0.192807
0.124000		0.060000		-0.184976
0.125000		0.060000		-0.177514
0.126000		0.060000		-0.170401
0.127000		0.060000		-0.163619
0.128000		0.060000		-0.157149
0.129000		0.060000		-0.150976
0.130000		0.060000		-0.145082
0.131000		0.060000		-0.139454
0.132000		0.060000		-0.134078
0.133000		0.060000		-0.128940
0.134000		0.060000		-0.124029
0.135000		0.060000		-0.119334
0.136000		0.060000		-0.114842
0.137000		0.060000		-0.110546
0.138000		0.060000		-0.106433
0.139000		0.060000		-0.102497
0.140000		0.060000		-0.098727
0.141000		0.060000		-0.095117
0.142000		0.060000		-0.091658
0.143000		0.060000		-0.088343
0.144000		0.060000		-0.085166
0.145000		0.060000		-0.082120
0.146000		0.060000		-0.079199
0.147000		0.060000		-0.076397
0.148000		0.060000		-0.073709
0.149000		0.060000		-0.071129
0.150000		0.060000		-0.068654
0.151000		0.060000		-0.066277
0.152000		0.060000		-0.063995
0.153000		0.060000		-0.061803
0.154000		0.060000		-0.059697
0.155000		0.060000		-0.057675
0.156000		0.060000		-0.055731
0.157000		0.060000		-0.053862
0.158000		0.060000		-0.052067
0.159000		0.060000		-0.050340
0.160000		0.060000		-0.048679
0.161000		0.060000		-0.047082
0.162000		0.060000		-0.045546
